username,name,status,first_seen,last_seen,removed_at,stints,current_category,baseline_2023_07_30,type,cat,subs,tgid,updated,desc
littleb_gptBOT,littleb_gptBOT,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,常用推荐,,-1003843994435,2026-07-11,
LivegramBot,Livegram Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,常用推荐,,179449893,2026-07-11,
Lottery8Bot,抽奖机器人,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,抽奖机器人,,6420220651,2026-07-11,
mine_sweeper_bot,Minesweeper,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,496713096,2026-07-11,
MissRose_bot,Rose,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,群组管理,,609517172,2026-07-11,
ModularBot,ModularBot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,常用推荐,,5904807279,2026-07-11,
msg_get_bot,电报消息提取器(支持私人/公开频道/群组),present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,6085877226,2026-07-11,
MTProxybot,MTProxy Admin Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,TG官方,,571465504,2026-07-11,
music_v1bot,音乐下载 Music Download Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,资源搜索,,7047624789,2026-07-11,
newfileconverterbot,File Converter,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,532566563,2026-07-11,
nmnmfunbot,nmBot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,群组管理,,5304501737,2026-07-11,
octocatbbot,Github Repo Downloader,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,文件下载,,6392904112,2026-07-11,
pixiv_bot,Pixiv,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,281106799,2026-07-11,
policr_mini_bot,Policr Mini (控制台版),present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,群组管理,,1148507346,2026-07-11,
PostBot,Post Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,273234066,2026-07-11,
PremiumBot,Premium Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,TG官方,,5314653481,2026-07-11,
previews,Previews,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,TG官方,,275799522,2026-07-11,
QuotLyBot,QuotLy,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,1031952739,2026-07-11,
ReactBot,React Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,频道分析,,1214526438,2026-07-11,
RenamersFilesBot,"ReNamers | Remove background | ZIP, RAR, Instagram, TikTok",present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,5541104357,2026-07-11,
rssflowbot,flowerss,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,706816856,2026-07-11,
RSSWBot,RSS屋,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,5859746608,2026-07-11,
RustRssBot,RSSBot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,331682608,2026-07-11,
scihubot,Sci-Hub,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,资源搜索,,162917195,2026-07-11,
sosdbot,🔍搜书神器 v2,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,资源搜索,,2142201306,2026-07-11,
sotv,一起搜电影,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,资源搜索,,1747674850,2026-07-11,
soutubot,对对对 我就是搜图bot酱 色图发我 | 新频道 @Soutubot_Ch,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,资源搜索,,1856051389,2026-07-11,
SpamBot,Spam Info Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,TG官方,,178220800,2026-07-11,
Sticker2GIFBot,Sticker To GIF,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,贴纸下载,,974628567,2026-07-11,
Stickerdownloadbot,Sticker Downloader,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,贴纸下载,,220255550,2026-07-11,
StickerResizerBot,Stickers Resizer,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,贴纸下载,,468779916,2026-07-11,
Stickers,Stickers,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,TG官方,,429000,2026-07-11,
stickerset2packbot,StickerSetBot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,贴纸下载,,212068197,2026-07-11,
Telegraph,Telegraph,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,TG官方,,328179432,2026-07-11,
telemetr_io_bot,Telemetrio,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,频道分析,,1061392438,2026-07-11,
TempMail_org_bot,Temp Mail ✉️ Official Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,863661281,2026-07-11,
tg_analytics_bot,Telegram Analytics Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,频道分析,,433791261,2026-07-11,
TGStat_Bot,TGStat Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,频道分析,,439757700,2026-07-11,
TGwikiAppBot,TGwiki小程序版,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,常用推荐,,7442353543,2026-07-11,
TranslateBot,Google Translate,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,7517879122,2026-07-11,
transparency,Transparency Reports,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,TG官方,,5549268985,2026-07-11,
twitter_loli_bot,twitter_loli_bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,7017476482,2026-07-11,
twittervid_bot,Twitter (𝕏) Media Downloader دانلود از توییتر (ایکس),present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,文件下载,,711500294,2026-07-11,
uploadbot,URL Uploader,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,97342984,2026-07-11,
username_bot,Username Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,TG官方,,835818685,2026-07-11,
utubebot,utubebot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,文件下载,,168492769,2026-07-11,
VerifyBot,Verify Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,TG官方,,1117619213,2026-07-11,
vid,Video Search for YouTube,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,资源搜索,,90832338,2026-07-11,
Vkmusic_bot,VK Music Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,资源搜索,,119606003,2026-07-11,
VmomoVBot,Let's Music,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,资源搜索,,2035680002,2026-07-11,
wallet,Wallet,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,TG官方,,1985737506,2026-07-11,
WatchdogVerifyBot,Telegram Watchdog,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,群组管理,,1171095858,2026-07-11,
web2album_bot,Web to Album,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,1050438840,2026-07-11,
WebpageBot,Webpage Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,TG官方,,169642392,2026-07-11,
WeGroupRobot,We Group Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,群组管理,,6108202915,2026-07-11,
XiaoCaiLotteryBot,抽奖机器人,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,抽奖机器人,,6461022460,2026-07-11,
YTDownBot,Pat Bot,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,文件下载,,507870293,2026-07-11,
YTranslateBot,Yandex Translate,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,消息收发,,104784211,2026-07-11,
ZUOLUOTV_AI_BOT,查特皮皮鸡,present,2025-02-05 15:12,2026-08-28 16:00,,1,,,机器人,群组管理,,6177880760,2026-07-11,
pornographic_animation,里番文化遗产工程：索引,removed,2025-02-05 16:00,2026-07-08 03:19,2026-07-15 00:07,1,,,,,,,,
lihaiba,LIHAI 分享,present,2025-02-06 14:04,2026-08-28 16:00,,1,资源分享,,频道,资源分享,38.9K,-1001351552963,2026-08-27,一个分享频道，进频道先看置顶，不定时不定量更新，希望推送内容对你能有帮助 有问题或投稿找资源私聊 bot @lihaibaBot 助力： https://t.me/boost/lihaiba LIHAI的收藏夹 @lihai GitHub的存档 @iGitHub 优质网盘资源分享存档 @lihaiCloud 转载原档请注明出处 @lihaiba 频道资源均收集于网上各大博客论坛资源网站等，对资源源以及真实性一概不知，如不慎对您的权利造成了伤害，请立即与我们 BOT 联系进行处理
KitKot_TV,KitKot电影频道,removed,2025-02-15 06:18,2025-04-15 01:51,2025-04-16 13:15,1,,,,,,,,
aipojujlb,热门游戏资源,removed,2025-02-16 11:22,2026-07-08 03:19,2026-07-15 00:07,1,,,,,,,,
CGSFW,(ゲームCG)一个兴趣使然的PC壁纸频道,present,2025-02-16 11:22,2026-08-28 16:00,,1,壁纸图片,,频道,壁纸&图片,10.0K,-1001210998499,2026-08-27,本频道附属于 @galgamenoHCG 是一个SFW频道 主要发一些galgameCG里的一些我认为“好看”的可以拿来做壁纸的图片频道，附属交流 （网盘）CG包群组 @CGbaobaobao 所发图对应的完整CG包会发在这里，感谢您关注本频道 兴趣使然 Anime gif频道 @xqsranimegif
COSYiMi,Coser展馆,removed,2025-02-16 11:22,2026-07-08 03:19,2026-07-15 00:07,1,,,,,,,,
dayuyud,一起钓大鱼,removed,2025-02-16 11:22,2025-04-26 15:59,2025-04-26 16:05,1,,,,,,,,
HY_QingYan,陌上花开轻烟阁,removed,2025-02-16 11:22,2026-07-08 03:19,2026-07-15 00:07,1,,,,,,,,
steampj,电脑单机游戏破解/Steam/CODEX/RUNE/每日游戏更新,present,2025-02-16 11:22,2026-08-28 16:00,,1,游戏软件,,频道,游戏软件,35.0K,-1001808927965,2026-08-28,各种单机破解游戏分享频道。 游戏交流群：https://t.me/steamyxsq
steamsteam,Steam快讯,present,2025-02-16 11:22,2026-08-28 16:00,,1,资讯新闻,,频道,资讯新闻,15.4K,-1001123347924,2026-08-25,（暂无描述）
xiangli11,小黎画师分享,removed,2025-02-16 11:22,2025-04-26 15:59,2025-04-26 16:05,1,,,,,,,,
YunRan1314,[NSFW]韵の小院,removed,2025-02-16 11:22,2025-04-26 15:59,2025-04-26 16:05,1,,,,,,,,
yuyeweimian,『雨夜凉亭』ACG频道,removed,2025-02-16 11:22,2025-05-03 14:07,2025-05-03 15:18,1,,,,,,,,
Mp4Post,影视讯息发布 | 在线电影 电视剧 剧集 动漫 漫威宇宙 DC宇宙,present,2025-04-16 13:15,2026-08-28 16:00,,2,影音资源,,频道,影音资源,6.7K,-1002155328503,2026-08-26,◾️本频道用于影视更新信息发布，热心的网友会在评论区回复更多相关电影资讯！ ◾️目录中可搜索影片 【强力导航站】 @MapFather 【影视在线】 @Mp4Post
acg_meme,美图与沙雕,present,2025-04-16 13:46,2026-08-28 16:00,,1,搞笑趣味,,频道,搞笑趣味,18.7K,-1001590459584,2026-08-26,"始于2019-11-25 死于2025-04-15 旧频道 t.me/shadiaotu 闲聊&投稿群 t.me/shadiao_chat 新 https://t.me/shadiaotu_chat 旧 ❗️❗️❗️有验证❗️❗️❗️ ❗️评论禁血腥暴力和政治❗️ 遇到提示:""抱歉,此会话已无法访问""私聊管理解除 或者无法进入闲聊群的问题 请进群反馈 @shadiaotu_feedback"
hannelhalls,频道藏馆,removed,2025-04-24 16:27,2025-04-26 16:05,2025-04-26 16:09,1,,,,,,,,
banxiaqwq,半半半半半夏,removed,2025-04-26 15:59,2026-07-08 03:19,2026-07-15 00:07,1,,,,,,,,
dayuyufuhuo,一起钓大鱼,removed,2025-04-26 16:05,2026-07-08 03:19,2026-07-15 00:07,1,,,,,,,,
eroBanXia,黄油 精品黄油,removed,2025-04-26 16:05,2026-07-08 03:19,2026-07-15 00:07,1,,,,,,,,
xianli202505,小黎画师分享,removed,2025-04-26 16:05,2026-07-08 03:19,2026-07-15 00:07,1,,,,,,,,
YunRan233,韵の小院,removed,2025-04-26 16:05,2026-07-08 03:19,2026-07-15 00:07,1,,,,,,,,
channelhalls,频道藏馆,present,2025-04-26 16:09,2026-08-28 16:00,,1,导航索引,,频道,导航索引,14.4K,-1001359667298,2026-08-28,收藏 TG 频道、群组、机器人…… 群组 @channelhallschat 私信 @channelhall_bot
FanRenXiuXianZhuan_TRJ,凡人修仙传【影视/国产动漫】韩立-南宫婉,present,2025-08-28 18:42,2026-08-28 16:00,,1,影音资源,,频道,影音资源,38.3K,-1001866966388,2026-08-26,大道星河同辉，致谢道友支持 🤝赞助商： 2028体育 🌐游戏网址：20280031.com 斗漫影视： @DouMan 猎奇吃瓜： @Qiwen99 成人导航： @DaoHangFL #凡人修仙传 #韩立 #南宫婉 #紫灵 #慕沛灵 #银月 #元瑶 #柳眉 #宋玉 #墨彩环 #梅凝
XiangxiuNBB,,removed,2025-08-28 18:42,2026-08-18 08:50,2026-08-21 16:00,1,,,,,,,,
duteba,独特吧,removed,2026-06-07 02:10,2026-07-08 03:19,2026-07-15 00:07,1,,,,,,,,
amiaoapp,APP喵-阿喵科技资源共享,removed,2026-06-14 17:53,2026-07-08 03:19,2026-07-15 00:07,1,,,,,,,,
aa28413761,广告必须死,present,2026-07-15 00:07,2026-08-28 16:00,,1,ios资源,,频道,iOS资源,26.0K,-1001699360169,2026-08-27,（暂无描述）
aboutrss,ALL About RSS,present,2026-07-15 00:07,2026-08-28 16:00,,1,ios资源,,频道,iOS资源,9.5K,-1001489753190,2026-08-27,关于 #RSS 技术的 #应用 #周边 #介绍 #方法 #教程 #指南 #讨论 #观点 #技巧 RSS = Really Simple Syndication / Rich Site Summary 推特：https://twitter.com/aboutrss 频道 RSS Feed：https://feeds.feedburner.com/ALLAboutRSS 频道 bot：@channelmcbot 群组：@allaboutrss (福利：推特账号的 Retweet 会自动发至群组)
abskoop,ahhhhfs｜A姐分享,present,2026-07-15 00:07,2026-08-28 16:00,,1,资源分享,,频道,资源分享,306.5K,-1001651435712,2026-08-27,A姐分享订阅频道 分享资源、影视、软件和福利等有趣的东西。 所有内容均发布在：https://www.ahhhhfs.com 影视资源：https://www.xbwpys.com/ 地址发布页：https://dizhi.abskoop.com DMCA/投稿/联系邮箱：feedback@abskoop.com 使用Chrome等非国产浏览器打开链接，挂梯子打开比较顺畅
acg_arts,ACG~青春动漫画廊 REBORN！二次元美壁纸、美图～,present,2026-07-15 00:07,2026-08-28 16:00,,1,壁纸图片,,频道,壁纸&图片,13.4K,-1002052370369,2026-08-27,普通的美图存储、分享频道罢了，但色图哒咩(⌯︎¤̴̶̷̀ω¤̴̶̷́)✧︎ 置顶有总目录~ 有事请联系 @yangyang9_bot 或 @Lamp_Official的频道私信 防失联频道 @Lamp_Official
acgdaily,2.5次元日常 🍉,present,2026-07-15 00:07,2026-08-28 16:00,,1,搞笑趣味,,频道,搞笑趣味,16.3K,-1001494646462,2026-08-26,梗图/沙雕/新闻/锐评/废物大赏/二次元 有啥发啥 内容不保真 请自行鉴定 尽情品味 祝各位群友吃瓜愉快 转发请保留来源 公告栏 https://t.me/acgdaily/6801 入群指南 https://t.me/acgdaily/33934
achansp,Naruto 频道推荐 👍👍👍,present,2026-07-15 00:07,2026-08-28 16:00,,1,导航索引,,频道,导航索引,23.2K,-1002043852299,2026-08-28,进来先看顶置 简介：致力于分享各种各样的中文频道，也欢迎大家向小伙伴们推荐本频道。 投稿/互推/商务合作： @Narutopd_bot
acwiki,Ac-Wiki | 真·青年大学习,present,2026-07-15 00:07,2026-08-28 16:00,,1,知识学习,,频道,知识学习,3.6K,-1002265158210,2026-08-26,学习·成长 高等教育学社基础知识开源建设工程 属于大学生群体的真·青年大学习 Discord：https://discord.gg/SHH5z8hZA 项目主页：https://github.com/Ac-Wiki/Ac-Wiki QQ 群：860675581 如被误封，请私聊 @ztm0929
adclose,AdClose Official,present,2026-07-15 00:07,2026-08-28 16:00,,1,ios资源,,频道,iOS资源,12.1K,-1002003426322,2026-08-27,发布模块更新 AdClose 是一个基于Xposed框架的Android广告屏蔽工具，致力于提供一个无广告的应用浏览体验，旨在优化用户体验并减少干扰。请在LSPosed框架环境中使用。
addlist_x,Telegram 分组共享,present,2026-07-15 00:07,2026-08-28 16:00,,1,导航索引,,频道,导航索引,7.0K,-1001824568454,2026-08-28,分享共享 分组/文件夹 投稿请使用：私聊直通消息
aestheticctv,审美TV,present,2026-07-15 00:07,2026-08-28 16:00,,1,壁纸图片,,频道,壁纸&图片,4.4K,-1001646539426,2026-08-27,审美鉴赏，理性思辨。 入群交流 https://t.me/AestheticssGroup 内容投稿 @BetweenAestheticsBot 解封联系 @uniever
afengye,枫叶の破解软件频道,present,2026-07-15 00:07,2026-08-28 16:00,,1,ios资源,,频道,iOS资源,12.2K,-1002231714005,2026-08-27,（暂无描述）
ai_copilot_channel,AI Copilot,present,2026-07-15 00:07,2026-08-28 16:00,,1,资讯新闻,,频道,资讯新闻,10.4K,-1001852030881,2026-08-25,这是一个关于 AI 的非营利频道。 This is a non-profit channel about AI. by @cnpcmx
ai_news_cn,ChatGPT / AI新闻聚合,present,2026-07-15 00:07,2026-08-28 16:00,,1,资讯新闻,,频道,资讯新闻,21.4K,-1001809784088,2026-08-26,"https://t.me/AI_News_CN 📈主流AI服务状态页通知 | 🆕汇集全网ChatGPT/AI新闻 #AI #ChatGPT 🔙备用群 https://t.me/gpt345 ✨BEST AI中转 https://api.oaibest.com 2.8折起 支持OpenAI, Claude code, Gemini,Grok, Deepseek, Midjourney, 文件上传分析 Buy ads: https://telega.io/c/AI_News_CN"
aigc1024,AI探索指南,present,2026-07-15 00:07,2026-08-28 16:00,,1,资讯新闻,,频道,资讯新闻,36.7K,-1001872719322,2026-08-25,关于AIGC人工智能、思维方式、知识拓展，能力提升等。投稿/合作： @inside1024_bot AIGC 领域的最新工具、开源项目以及行业大事件
aiqing,#推特食堂,present,2026-07-15 00:07,2026-08-28 16:00,,1,博客杂谈,,频道,博客杂谈,749,-1001173519953,2026-08-27,半机器半人肉挖掘筛选 #推特食堂 tweets 请使用 @CaipuBot 搜索频道内容，搜菜名、食材名都可以。 #recipes #菜谱 #厨房 #cooking #twitter #kitchen #烹饪 同套路频道： @cankaoshu ，存放书
airport_cn,离港一二线机场收录&测评|配置🅥,present,2026-07-15 00:07,2026-08-28 16:00,,1,机场测试,,频道,机场测试,16.0K,-1001610553216,2026-08-28,#机场 #机场测评 #机场测速 #科学上网 #梯子 #VPN 本频道致力于收录测评头部较好的一二线大机场，为大家提供全面的机场相关信息。请注意，我们收录测评的机场仅供参考，不代表推荐，求一个关注呀～ 频道入口：https://t.me/airport_cn
alist_chat,Alist使用交流,present,2026-07-15 00:07,2026-08-28 16:00,,1,软件社群,,群组,软件社群,21.9K,-1001762037220,2026-08-28,（暂无描述）
allmist,大雾弥漫,present,2026-07-15 00:07,2026-08-28 16:00,,1,博客杂谈,,频道,博客杂谈,4.8K,-1001975933307,2026-08-26,个人收藏、互联网与碎碎念。
android_mod_featured,安卓精选 | 破解软件,present,2026-07-15 00:07,2026-08-28 16:00,,1,软件综合,,频道,软件综合,18.2K,-1002011925394,2026-08-27,专注分享 电报破解版 | Plus Messenger 破解版 以及其他精选的破解软件 广告投放 @hotvdbot
animecuteth,Anime Cute Theme,present,2026-07-15 00:07,2026-08-28 16:00,,1,电报入门,,频道,电报入门,20.1K,-1001454374127,2026-08-28,Only For Android🐻 🍭Stickers Check Pinned Messages For Kpop Theme👉 @exoltheme
animercn,AnimerCN Library 中文动漫库,present,2026-07-15 00:07,2026-08-28 16:00,,1,影音资源,,频道,影音资源,11.7K,-1001827195909,2026-08-26,每季最新动漫汇总 @AnimerCN_NEW，更多过往动漫 @AnimerCN，欢迎来聊天群玩 @AnimerCNchat，如发现问题可群里反应，动漫搜索: cutt.ly/AnimerCN
anxreaderdiscussion,Anx Discussion,present,2026-07-15 00:07,2026-08-28 16:00,,1,软件社群,,群组,软件社群,470,-1002084130738,2026-08-28,（暂无描述）
apod_hans,NASA每日天文图片 APOD,present,2026-07-15 00:07,2026-08-28 16:00,,1,壁纸图片,,频道,壁纸&图片,5.1K,-1001458774381,2026-08-27,每日从NASA的APOD中文分站抓取内容并推送。
app_snitch,AppSnitch · 器,present,2026-07-15 00:07,2026-08-28 16:00,,1,资源分享,,频道,资源分享,3.4K,-1001863304053,2026-08-27,只推送筛选过个人觉得好用的APP和方法论 趣站/资源分享/效率提升/学习成长 ✉️投稿 | @writeferebot 🤝推广&合作 | @SnitchTransit_bot 👨群组 | @favsnitch 📖好书推荐 | @booksnitch ✒️我的博客 | readfere.com Tools for Thought！
appdopic,APPDO的互联网记忆,present,2026-07-15 00:07,2026-08-28 16:00,,1,资讯新闻,,频道,资讯新闻,16.0K,-1001728616195,2026-08-26,本频道由多人编辑发布，不代表任何个人观点； 📨欢迎投稿/商务合作：@appdo_bot 购买ADs：telega.io/c/appdopic
appinnfeed,Appinn Feed｜小众软件,present,2026-07-15 00:07,2026-08-28 16:00,,1,软件综合,,频道,软件综合,32.9K,-1001073712343,2026-08-27,这里有小众软件和发现频道的内容更新，以及一个绑定的私有群组。 💬 吹水群：https://t.me/appinn 📖 RSS 订阅地址：https://feeds.feedburner.com/apipnntgfeed 📣 发现频道 @appinnfaxian 在这个频道发布广告（Buy ads on this channel）: https://telega.io/c/appinnfeed
applenuts, Apple Nuts,present,2026-07-15 00:07,2026-08-28 16:00,,1,资讯新闻,,频道,资讯新闻,36.7K,-1001079757039,2026-08-25,🍎 一个特别的 Apple 频道 💡Let’s Think Different. 讨论组 @OnlineAppleUserGroup
apppie,AppPie,present,2026-07-15 00:07,2026-08-28 16:00,,1,资讯新闻,,频道,资讯新闻,3.4K,-1001330973808,2026-08-26,🌐 网站 apppie.com 欢迎来到 AppPie！我们热衷于探索 Apple 世界的最新变化，并为你筛选出能真正提升体验的高品质应用。 💬 关联群组: @AppPieGroup
appssweepstakesnews,Apps推荐&抽奖&活动,present,2026-07-15 00:07,2026-08-28 16:00,,1,资源分享,,频道,资源分享,8.5K,-1001413646788,2026-08-27,推送不限于Apps抽奖活动相关资讯，欢迎转发！ 如打扰请关闭通知 抽奖请关注： https://t.me/Ant_AppsSweepstakes 正月十五关门
asiacutegirls,亚洲美女 Asia Girls,present,2026-07-15 00:07,2026-08-28 16:00,,1,壁纸图片,,频道,壁纸&图片,3.7K,-1001063592841,2026-08-27,亚洲美女 Asia Girls
atreehole,树洞,present,2026-07-15 00:07,2026-08-28 16:00,,1,博客杂谈,,频道,博客杂谈,5.1K,-1001423488461,2026-08-26,树洞是一个匿名分享秘密和诉说心事的地方。可以将自己的秘密匿名分享在树洞里，获得其他网友的建议与关注。 树洞入口 @TheTreeHoleBot 输入的消息将显示在这里，完全匿名。 本频道对所有人开放，任何人均可访问，因此您可能需要为自己的言论负责。 管理员将根据心情删政治言论 规则 ： ① 树洞≠聊天室 ② 指名或影射他人的信息删 ③ 适度版聊 ④ 说话太脏删 ⑤ 冒充管理员删 暂不开放图片发送功能，以免被苹果封！ 昵称有效期一天
audiobook_pd,每天听本书 Chat,present,2026-07-15 00:07,2026-08-28 16:00,,1,小说阅读,,群组,小说阅读,1.8K,-1002137928007,2026-08-28,📚每天半小时，搞懂一本书 频道： @tingshushare
author_1024_day,author_1024_day,present,2026-07-15 00:07,2026-08-28 16:00,,1,主机vps,,群组,主机vps,,-1004470380445,2026-08-28,（暂无描述）
awavenueadsrule,AWAvenue Ads Rule,present,2026-07-15 00:07,2026-08-28 16:00,,1,软件综合,,频道,软件综合,3.8K,-1002068418094,2026-08-27,最佳轻量级网络层广告拦截解决方案. The best lightweight network-layer adblock solution. Official：https://AWAvenue.top Official：https://doc.awads.cc Github：https://lIlllllllI.llIlI.lI
awesomechatgpt,ChatGPT 精选,present,2026-07-15 00:07,2026-08-28 16:00,,1,资讯新闻,,频道,资讯新闻,14.8K,-1001967944554,2026-08-25,ChatGPT 精选资源
awesomediygod,一起偷偷观察 DIYgod,present,2026-07-15 00:07,2026-08-28 16:00,,1,博客杂谈,,频道,博客杂谈,4.1K,-1001120166141,2026-08-27,频道由 RSSHub 强力驱动，频道目录： 🐦 #DIYgod的Twitter更新 📝 #DIYgod的博客更新 🎶 #DIYgod喜欢的网易云音乐 📺 #DIYgod的豆瓣动态 🎥 #DIYgod的bilibili投稿 🎮 #DIYgod的PSN奖杯 🔖 #DIYgod的RSS订阅 讨论组 @prpr233
baiduclouddisk,百度网盘中转&通知频道,present,2026-07-15 00:07,2026-08-28 16:00,,1,资源分享,,频道,资源分享,2.3K,-1002997183106,2026-08-28,（暂无描述）
baipiaou,不是白嫖，这叫借鉴（备用）,present,2026-07-15 00:07,2026-08-28 16:00,,1,资源分享,,频道,资源分享,32.5K,-1002576291526,2026-08-27,简单粗暴，严选分享，每一条都实用！ 投稿、广告联系：@czp666
bakadog,agou的胡言乱语,present,2026-07-15 00:07,2026-08-28 16:00,,1,博客杂谈,,频道,博客杂谈,865,-1001590712600,2026-08-27,（暂无描述）
bandwagonhostgroup,搬瓦工 (BandwagonHost),present,2026-07-15 00:07,2026-08-28 16:00,,1,主机vps,,群组,主机vps,10.1K,-1001124575803,2026-08-24,搬瓦工中文网交流群，除了黄赌毒、政治、反动、清真、广告外，话题随意。禁止谩骂、人身攻击，禁止发布任何交易信息，违者永封。 网址：https://www.bandwagonhost.net 短域名：https://bwg.net 补货推送频道：https://t.me/BandwagonHostNews 如需发送图片：@BandwagonHostGroup2
bbczhongwen_rss,BBC中文 全文 实时推送,present,2026-07-15 00:07,2026-08-28 16:00,,1,资讯新闻,,频道,资讯新闻,24.5K,-1001419685736,2026-08-26,[RSS全文订阅 实时更新] 知乎日报 @zhihuribao_rss 纽约时报 @niuyueshibao_rss BBC中文 @bbczhongwen_rss 路透中文 @lutouzhongwen_rss 美国之音 @meiguozhiyin_rss FT中文网 @ftzhongwen_rss 双语新闻 @shuangyunews_rss 早起读书 书友群 @ideahub_ml
bdwpzhpd,百度网盘综合频道,present,2026-07-15 00:07,2026-08-28 16:00,,1,影音资源,,频道,影音资源,49.8K,-1002110524172,2026-08-26,为了更高质量的分享 度盘用户建议挂载后观看
beautygirls9527,🎖美女精选🎖,present,2026-07-15 00:07,2026-08-28 16:00,,1,nsfw,,频道,NSFW,28.3K,-1001150216752,2026-08-27,（暂无描述）
beta_legado,Legado Beta,present,2026-07-15 00:07,2026-08-28 16:00,,1,软件社群,,群组,软件社群,6.0K,-1002095285416,2026-08-28,Beta发布通知频道： @Legado_Beta Beta发布讨论群组： @Beta_Legado
bgg_box,【BGG】本子盲盒 📦,present,2026-07-15 00:07,2026-08-28 16:00,,1,nsfw,,频道,NSFW,2.1K,-1002767761335,2026-08-28,⁡ 这里是频道 @BGG_Comics 的原档仓库，但是盲盒 防失联 @BGG_Home ⁡ 投稿 / 报错 / 反馈 / 广告 / 合作互推 / 赞助支持 @BGG_Official_Bot ⁡
bilibili_skin,哔哩哔哩 表情/装扮 存档,present,2026-07-15 00:07,2026-08-28 16:00,,1,表情贴纸,,频道,表情贴纸,12.7K,-1001932767932,2026-08-28,（暂无描述）
