Channel name,Handle,t.me link,Type,TGNAV category,"Subscribers (TGNAV, 2026-08-29)",Status on TGNAV,First listed on TGNAV,Last listed on TGNAV,Telegram ID,TGNAV updated,Why flagged,Description (TGNAV)
Cuttlefishの自留地,@ddgksf2021,https://t.me/ddgksf2021,频道,iOS资源,45700,live,2026-07-15,2026-08-28,-1001387341570,2026-08-27,,Hello，欢迎👏来到 Cuttlefish の 自留地，这里墨鱼会分享一些互联网资源、IOS 优质限免、羊毛🦙福利、破解💎IPA、实用APK 、QuantumultX、小火箭、Surge、Loon、Egern 等 VIP 及去广告脚本资源❤️ @ddgksf2021 @ddgksf2023 @ddgksf2026
Cuttlefishの网盘地,@ddgksf2023,https://t.me/ddgksf2023,频道,软件综合,19500,live,2026-07-15,2026-08-28,-1001634615712,2026-08-27,,自留地👇 @ddgksf2021
叮当猫iOS资源脚本分享频道,@ddm1023,https://t.me/ddm1023,,,,removed,2025-02-05,2026-07-08,,,,
叮当猫iOS资源脚本分享频道,@ddm1024,https://t.me/ddm1024,,,,removed,2024-12-22,2025-02-05,,,,
DecoHack-独立产品周刊,@decohack,https://t.me/decohack,频道,资源分享,2200,live,2026-07-15,2026-08-28,-1001620697055,2026-08-27,,每周推荐好玩有趣的产品，APP，网站等。为独立创造者提供灵感。 https://www.decohack.com/
得到2019,@dedao2019,https://t.me/dedao2019,频道,书报刊漫,18900,live,2026-07-15,2026-08-28,-1001441806986,2026-08-27,,得到 电子书 喜马拉雅 知乎 创业 生意收费课程更新
知识付费 | 得到 | 樊登读书,@dedaozs,https://t.me/dedaozs,频道,知识学习,2100,live,2026-07-15,2026-08-28,-1002009310678,2026-08-26,,知识付费分享站！🚀
黄油产场（聊天群）,@demonsroots,https://t.me/demonsroots,群组,游戏,2300,live,2026-07-15,2026-08-28,-1002825895032,2026-08-28,,（暂无描述）
【友盟】导航机器人·群组搜索,@dh2345_bot,https://t.me/dh2345_bot,机器人,搜群机器人,,live,2023-07-30,2026-08-28,1281094933,2026-07-11,,
"X86,ARM,NAS研究群",@DHDAXCW,https://t.me/DHDAXCW,,,,removed,2024-09-30,2026-07-08,,,,
电影经典原声_桥段,@dianyingqianduan,https://t.me/dianyingqianduan,频道,影音资源,1400,live,2026-07-15,2026-08-28,-1001852623505,2026-08-26,,带你看最经典的电影 广告洽谈: @TGMAX123 增粉引流: https://t.me/FS123_YINLIU 苹果ID|协议号: https://t.me/XPanelShop 增粉平台客服： @FS123Panel 👉投放广告: https://tgads.org/m/lizhidaososo
动漫/电影🍬【糖果社】,@dianyingtg,https://t.me/dianyingtg,频道,影音资源,29900,live,2026-07-15,2026-08-28,-1001417970622,2026-08-26,,电影动漫 糖果导航： @daohang_520 商务合作联系： @cool66666
叮当喵喵-今天你也很可爱,@dingdangmaoo,https://t.me/dingdangmaoo,频道,萌宠分享,6100,live,2026-07-15,2026-08-28,-1001891543011,2026-07-08,,些许不成熟内容 | 有喵喵和汪汪 | 和一些音乐 频道相关请联系｜https://t.me/Cornettos_bot 友情频道是可爱小狗 | @keaixiaogou
历史老照片（中文）Timeless Archives,@discoveryzhongwen,https://t.me/discoveryzhongwen,频道,壁纸&图片,41700,live,2026-07-15,2026-08-28,-1001829234342,2026-08-27,,歡迎投稿這裡👉 @Discoveryzhongwen_bot 歷史是人類經驗的寶庫，它可以為我們提供有關人類社會、文化、政治、經濟、科技等各個領域的豐富知識。通過學習歷史，我們可以了解到過去的成就、錯誤和挑戰，從而更好地理解現在的世界和未來的走向。同時，歷史可以培養我們的思辨能力、分析能力和判斷能力，幫助我們更好地理解和應對當下的複雜社會問題。因此，學習歷史不僅可以拓寬我們的知識視野，還可以幫助我們成為更好的決策者和更有思想深度的人。
DiscussBot,@discussbot,https://t.me/discussbot,机器人,频道分析,,live,2025-02-05,2026-08-28,871831167,2026-07-11,,
動漫花園|新番推送,@dmhy_org,https://t.me/dmhy_org,频道,影音资源,21300,live,2026-07-15,2026-08-28,-1001577701755,2026-08-26,,（暂无描述）
LoopDNS资讯播报,@DNSPODT,https://t.me/DNSPODT,频道,资讯新闻,71200,live,2023-07-30,2026-08-28,-1001320622866,2026-08-26,,LoopDNS 综合资讯---简洁，及时，快速，准确 频道: @DNSPODT 电报讨论组: @LoopDNS 撤稿流程: https://t.me/loopdns/107752
Docker,@dockertutorial,https://t.me/dockertutorial,,,,removed,2024-09-30,2026-07-08,,,,
卡粉群临时群,@DocOfCard,https://t.me/DocOfCard,,,,removed,2024-09-30,2026-07-08,,,,
中年人生存报告,@dogdairy,https://t.me/dogdairy,频道,博客杂谈,13700,live,2026-07-15,2026-08-28,-1001436513828,2026-08-26,,关于职场、生活、创业、30+、失业、中年生活、夫妻关系等。投稿/合作： @inside1024_bot
动漫收藏频道,@dongman1122,https://t.me/dongman1122,频道,影音资源,5300,live,2026-07-15,2026-08-28,-1002464768740,2026-08-26,,更新最新动漫作品
豆瓣讨论,@douban_discuss,https://t.me/douban_discuss,,,,removed,2024-09-30,2026-07-08,,,,
豆瓣精选,@douban_read,https://t.me/douban_read,频道,博客杂谈,36500,live,2023-07-30,2026-08-28,-1001206770471,2026-08-26,,感谢支持和关心我们众多读者朋友，我们将从投稿中筛选出真实、善意、公允的内容，努力为大家提供一个真正服务于读者的内容精选。
瘦瘦的绘画世界,@drawing1024,https://t.me/drawing1024,频道,博客杂谈,3200,live,2023-07-30,2026-08-28,-1001169729536,2026-08-26,,记录自己的绘画作品 平时的素描写生、水彩、插画、彩铅手绘等都会分享在这里，欢迎关注。自己另一个树洞频道👉https://t.me/+rvCtIaOWZ1lmNmY1
DropMail.me,@DropmailBot,https://t.me/DropmailBot,机器人,消息收发,,live,2025-02-05,2026-08-28,223734258,2026-07-11,,
独特吧,@duteba,https://t.me/duteba,,,,removed,2026-06-07,2026-07-08,,,,
电影探长 电影解说AI漫剧短剧,@dyjs01,https://t.me/dyjs01,频道,影音资源,40600,live,2026-07-15,2026-08-28,-1001813173551,2026-08-26,,管理联系： @feiyu199
📖电子书|有声书|杂志|PDF资料,@ebookpdf_library,https://t.me/ebookpdf_library,频道,书报刊漫,19800,live,2026-07-15,2026-08-28,-1001450608674,2026-08-27,,电子书/有声书/杂志/免费分享 【责任声明】 本频道分享的所有图书资料均收集于网络，无任何利益行为，如有侵犯作者及出版方权益，请联系本频道及时删除。 书籍讨论群：https://t.me/tushujiao
ЭКОЦЕНТР,@eco_c,https://t.me/eco_c,频道,资讯新闻,889,live,2026-07-15,2026-08-28,-1001238098584,2026-08-26,,Программы и сервисы для экологического проектирования и отчётности 📝 https://teletype.in/@eco-c 🏠 https://eco-c.ru/products/allproducts/ 💬 https://eco-c.ru/tickets/ticketlist 📗 https://eco-c.ru/public/прайс-лист.pdf
经济信息联播,@eco_cn,https://t.me/eco_cn,频道,资讯新闻,11500,live,2026-07-15,2026-08-28,-1001466760776,2026-08-26,,独立，个性的财经、金融资讯早报，汇总美股、A股收市信息，以及提供具有重大影响力的研报。
利器✨软件工具与开源项目,@edgebyte,https://t.me/edgebyte,频道,资源分享,17100,live,2026-07-15,2026-08-28,-1002603167029,2026-08-27,,利器可以是一件物品、软件、工具或者服务，能提供解决方案的，都是利器。 合作 @allmistbot
EdNovas的小站,@ednovas2,https://t.me/ednovas2,频道,vps主机,6100,live,2026-07-15,2026-08-28,-1001177045789,2026-08-28,,欢迎来到EdNovas的小站 群组 https://t.me/ednovas4 博客 https://ednovas.blog 机场 https://ednovas.me 导航 https://navigate.ednovas.xyz
Emoji/表情/图标/贴纸,@ehega,https://t.me/ehega,频道,表情贴纸,3900,live,2026-07-15,2026-08-28,-1002095540314,2026-08-28,,#表情包 #头像 #图标 #Emoji #sicker #png #壁纸 #贴纸 #宝藏 #资源 #高清 #像素 #电报 #bot 反馈： @kedabot
十三月评论,@elevemberreview,https://t.me/elevemberreview,频道,资讯新闻,4500,live,2026-07-15,2026-08-28,-1001391475119,2026-08-26,,推送内容以共和国史和（广义的）政治经济学为主，偶尔推送社运相关内容
数字图书馆卡|E-Librarycard & Libby,@elibrarycard,https://t.me/elibrarycard,频道,书报刊漫,1100,live,2026-07-15,2026-08-28,-1002035268652,2026-08-27,,分享不同国家和地区的数字图书馆卡(Library-ecard)，免费借阅不同地区的图书馆数字资源，线上就能享受在图书馆阅读的乐趣
反集邮俱乐部,@embyyyds,https://t.me/embyyyds,群组,emby社群,4500,live,2026-07-15,2026-08-28,-1002122512093,2026-08-28,,集邮一时爽，一直集邮一直爽。 观影本是愉快事，莫让保号绊一身。
EmojiTitleBot | Text from Emojis,@EmojiTitleBot,https://t.me/EmojiTitleBot,机器人,消息收发,,live,2025-02-05,2026-08-28,6574960154,2026-07-11,,
英文学习桌,@english_learning_discuss,https://t.me/english_learning_discuss,频道,知识学习,11200,live,2026-07-15,2026-08-28,-1001414226421,2026-08-26,,学习英语，了解世界。分享学习资料，原版书籍，报纸新闻。 关键词：英文 学习 英语 语言 书籍 读书 资源 频道合集 @channel_push 消息搜索 @msg_index_bot 推特翻译 @twitter_translate
JK精选,@EnjoyJK,https://t.me/EnjoyJK,,,,removed,2023-07-30,2026-07-08,,,,
📖电子书图书馆 epub|mobi|pdf|azw3|txt 轻小说|网文|文学|科学|教材,@epubtsg,https://t.me/epubtsg,频道,书报刊漫,37600,live,2026-07-15,2026-08-28,-1001947341344,2026-08-27,,epub，mobi，pdf，txt多种格式的综合书籍资源分享下载频道
黄油 精品黄油,@eroBanXia,https://t.me/eroBanXia,,,,removed,2025-04-26,2026-07-08,,,,
黄油仓库🔞 | 高速更新+免费技术支援,@erogamestorage,https://t.me/erogamestorage,频道,NSFW,32000,live,2026-08-18,2026-08-28,-1002513986258,2026-08-25,,无
damm的eSIM群🌍,@esim_help,https://t.me/esim_help,群组,卡号资金,8700,live,2026-07-15,2026-08-28,-1002010433014,2026-08-28,,频道: @eSIMhelp 解封联系: @some14u bot: @lpatest_bot
【BGG】本子！都是本子！❤️,@ex_shenshi,https://t.me/ex_shenshi,频道,NSFW,75500,live,2026-07-19,2026-08-28,-1001948000413,2026-08-25,,无
不求甚解,@fakeye,https://t.me/fakeye,频道,博客杂谈,19300,live,2023-07-30,2026-08-28,-1001280703189,2026-08-26,,👀 在这里分享我日常的所见所思。 by @somkanel 📰 RSS 订阅： https://rss.fakeye.xyz 💻 镜像站： https://channel.fakeye.xyz 📖 博客（每日更新）：https://blog.solazy.me 🎄 帮助频道助力： https://t.me/fakeye?boost ⚠️ 别在评论里发表低智/政治倾向/杠精言论，会被拉黑（关注关系是双向的）。 🚫 本频道不接广告。
方丈机器人,@fangzhang_bot,https://t.me/fangzhang_bot,机器人,群组管理,,live,2025-02-05,2026-08-28,1686769360,2026-07-11,,
凡人修仙传【影视/国产动漫】韩立-南宫婉,@FanRenXiuXianZhuan_TRJ,https://t.me/FanRenXiuXianZhuan_TRJ,频道,影音资源,38300,live,2025-08-28,2026-08-28,-1001866966388,2026-08-26,,大道星河同辉，致谢道友支持 🤝赞助商： 2028体育 🌐游戏网址：20280031.com 斗漫影视： @DouMan 猎奇吃瓜： @Qiwen99 成人导航： @DaoHangFL #凡人修仙传 #韩立 #南宫婉 #紫灵 #慕沛灵 #银月 #元瑶 #柳眉 #宋玉 #墨彩环 #梅凝
翻译,@fanyi_bot,https://t.me/fanyi_bot,机器人,消息收发,,live,2025-02-05,2026-08-28,604475928,2026-07-11,,
Farr的黄油（游）仓库SLG.RPG.ADV.3D,@farrslgrpg,https://t.me/farrslgrpg,频道,游戏软件,354500,live,2024-02-02,2026-08-28,-1001939540172,2026-08-28,,（暂无描述）
九宝娃娃-[黄油探讨],@farrwarehouse,https://t.me/farrwarehouse,群组,游戏,13900,live,2026-07-15,2026-08-28,-1001956943297,2026-08-28,,讨论群聊
浮士德备份站,@faust_plan,https://t.me/faust_plan,频道,NSFW,6200,live,2026-07-15,2026-08-28,-1002680057369,2026-08-28,,（暂无描述）
肥羊影音数码综合交流群,@feiyangdigital,https://t.me/feiyangdigital,群组,影音资源,101300,live,2026-07-15,2026-08-28,-1001630231030,2026-08-28,,👏欢迎加入肥羊影音数码综合交流群 🚫本群禁止讨论任何政治内容 && NSFW内容 ，尤其禁止不分享晒图/嘲讽群友的行为，违者将永久移至小黑屋 ⚠️本群不欢迎伸手党，如果需要帮助首先去搜索引擎，还不会再来问群友 ❗️违规信息请@admin向管理员举报，群内不可以发未经证实的广告链接 📺群主的BiliBili频道：https://space.bilibili.com/138129883 📺群主的YouTuBe频道：https://www.youtube.com/@youshandefeiyang
飞鱼资源分享|冲浪指南|软件工具,@feiyu123,https://t.me/feiyu123,频道,资源分享,61100,live,2025-02-05,2026-08-28,-1001537708370,2026-08-27,,"分享一些工具，软件，浏览器插件脚本，网站,歌曲，互联网相关资讯，开源项目，碎碎念的想法 等等。 投稿互推合作机器人： @feiyutian_bot"
飞鱼资源库,@feiyu4567,https://t.me/feiyu4567,频道,资源分享,16800,live,2026-07-15,2026-08-28,-1001829454940,2026-08-28,,（暂无描述）
🍿电影 新闻 影评,@filmnewsontg,https://t.me/filmnewsontg,频道,影音资源,4500,live,2026-07-15,2026-08-28,-1002130442636,2026-08-26,,最新电影相关新闻汇总
【华尔街见闻】- 财经时讯 | AI 实时互动,@FinanceNewsDaily,https://t.me/FinanceNewsDaily,频道,资讯新闻,54300,live,2023-07-30,2026-08-28,-1001132332373,2026-08-25,,中国领先的金融信息平台，7×24 覆盖全球股市、外汇、债券、商品动态。 ✨ 频道特色 • 📊 AI 自动解读：每条新闻实时生成投资参考 • ❓ 智能问答：使用 /ask 命令深入了解任意资讯 • ⚡ 秒级推送：重要信息第一时间触达 专业 + 智能，让投资决策更高效。 请通过频道左下角的「Direct Message」联系管理
财经慢报,@Financial_Express,https://t.me/Financial_Express,频道,资讯新闻,37300,live,2023-07-30,2026-08-28,-1001375475051,2026-08-25,,附属群组 @Financial_Express_Chat 财经慢报是 TG 简中最大的泛财经类资讯新闻频道，实时覆盖大宗外汇全球股票区块链等市场，内容真实中立客观。 部分内容按原文摘自墙内财经媒体并附来源，不代表本频道立场，请客观谨慎看待相关内容，谨防钓鱼误导。部分刷屏内容为现场零延迟文字转录，推送频繁敬请谅解。
Find Blog👁发现博客,@findblog,https://t.me/findblog,频道,书报刊漫,13900,live,2026-07-15,2026-08-28,-1001170164385,2026-08-27,,👀发现优秀的博客与创作者 发现博客，文章筛选，和博客有关的一切 一个收录优秀博客的地方 #Blog #Life #Code #Tech #Write #Design #Theme 赞助/广告/合作 请联系 @huhexian 感谢NodeSupport和YxVM( @yxvmcom )对本频道的赞助和支持。
美景如画,@fineviewx,https://t.me/fineviewx,频道,壁纸&图片,3600,live,2026-07-15,2026-08-28,-1001886911450,2026-08-27,,欢迎来到美景如画频道！这里有最真实、最绚丽的自然景观。我们不仅会分享全球著名的风景胜地，更会为您呈现一些鲜为人知的秘境。 在这里，您可以领略到壮观的山川河流，感受到大自然的磅礴力量。同时，我们也会分享那些宁静祥和的小镇和村庄，让您远离城市喧嚣，尽情享受慢生活。 我们会提供各种形式的内容，包括图片、视频等，希望能够满足您的不同阅读体验。并且，我们的频道内容将不断更新，让您时刻掌握最新的美景动态。 感谢您加入我们的行列，让我们一起领略大自然的魅力，探寻美景的奥秘。
音乐收藏夹,@flac_file,https://t.me/flac_file,,,,removed,2023-07-30,2026-07-08,,,,
🌍世界的真相⚠️,@flatouttruthlight,https://t.me/flatouttruthlight,频道,搞笑趣味,5700,live,2026-07-15,2026-08-28,-1001689052752,2026-08-26,,世界的黑暗远远比你想象的还要沉沦，特别是那些撒旦的恶魔后辈们，皆是极权极势之人，不明真相而被脑控的韭菜数以亿计，如果你真的有至高的勇气去面对这一切，就此加入我们，一起去探索挖掘那最深层次的世界之真相！ https://t.me/FlatOutTruthLight
电报群组广播,@FOCUSTELEGRAMGROUPLINK,https://t.me/FOCUSTELEGRAMGROUPLINK,,,,removed,2023-07-30,2024-12-22,,,,
Font Changer Bot,@FontChangerYBot,https://t.me/FontChangerYBot,,,,removed,2025-02-05,2026-07-08,,,,
Foolish TraceWind,@FoolishTraceWind,https://t.me/FoolishTraceWind,频道,搞笑趣味,16700,live,2023-07-30,2026-08-28,-1001203808607,2026-08-26,,本频道创立于2018年8月12日~ 致力于更新优质有趣的沙雕图，偶尔会发点别的杂七杂八，包含极微量 NSFW 内容。 大多有水印，部分会单独标注来源。 头像是头顶铁锅的频道主自己。 看不懂笑点的图可直接艾特频道主本人进行解析 梦想是给大家在劳累时给大家带来简单的快乐。 真的会倒闭，但绝对不会变质。 在评论区引战，情节严重的将直接封禁并揍你屁股。 相关链接 @FoolishTraceWindChat 本频道讨论群
Q的自留地,@foreveroom,https://t.me/foreveroom,频道,资源分享,2700,live,2026-07-15,2026-08-28,-1001799196556,2026-08-27,,等待一个机遇 | 交流群组： @michatmi 频道包含：网站推荐 | 频道分享 | 工具分享 | 资讯 等内容 频道内容中文搜索： https://app.shokichan.com/c/tg/foreveroom
小破不入渠🌏,@forwardlikehell,https://t.me/forwardlikehell,频道,博客杂谈,6800,live,2026-07-15,2026-08-28,-1001071312079,2026-08-26,,"無理の囈語。 原创天国: twitter.com/Jesoooor 垃圾堆: t.me/eessej 欢迎访问「大破进击」博客: jesor.me 欢迎收听「交差点」播客: jiaocha.io A small piece of Jesse Chan, created by Jesse Chan. @Jesoooor"
Fragment Auction Alerts,@fragment,https://t.me/fragment,机器人,TG官方,,live,2025-02-05,2026-08-28,5444323279,2026-07-11,,
free347 免费资源分享,@free347,https://t.me/free347,频道,资源分享,26600,live,2026-07-15,2026-08-28,-1001185503729,2026-08-27,,全网福利收集 免费资源分享 羊毛党聚集地 投放广告联系管理员 @dalababot 转载请注明出处
Emby公益不完全指北,@FreeEmbyGuide,https://t.me/FreeEmbyGuide,频道,资源分享,35700,live,2025-02-04,2026-08-28,-1001748678158,2026-08-27,,个人的小收藏，发一些混迹Emby公益服的心得。 反馈请通过 @FreeEmbyGuide_Bot 新手朋友请仔细阅读指南(需要挂梯) https://wiki.freeembyguide.eu.org
免费资源,@freeresource,https://t.me/freeresource,,,,removed,2023-07-30,2026-07-08,,,,
FriendChCodeList,@FriendChCodeList,https://t.me/FriendChCodeList,,,,removed,2023-07-30,2026-07-08,,,,
fStik — Sticker & Emoji Bot | Create and Search,@fStikBot,https://t.me/fStikBot,机器人,常用推荐,,live,2025-02-05,2026-08-28,449972946,2026-07-11,,
福利姬捕抓器,@fuliji_arrest,https://t.me/fuliji_arrest,频道,NSFW,2500,live,2026-07-15,2026-08-28,-1001807441891,2026-08-28,,福利姬捕抓器
电脑软件破解资源💻,@fun_exe,https://t.me/fun_exe,频道,软件综合,69400,live,2026-07-15,2026-08-28,-1001322532333,2026-08-27,,电脑软件破解资源
安卓官方软件资源🚗,@fun_open,https://t.me/fun_open,频道,软件综合,8600,live,2026-07-15,2026-08-28,-1001956029887,2026-08-27,,安卓官方软件资源 分享官方版本软件安装包
𝑷𝑭𝑷𝑻|𝐏𝐢𝐜𝐭𝐮𝐫𝐞 𝐂𝐨𝐥𝐥𝐞𝐜𝐭𝐢𝐨𝐧 🅡,@fwafwatime,https://t.me/fwafwatime,频道,壁纸&图片,101900,live,2026-07-15,2026-08-28,-1002100267512,2026-08-27,,（暂无描述）
Galgame同好会,@galgame,https://t.me/galgame,,,,removed,2024-09-30,2026-07-08,,,,
Galgame 频道,@galgamer_channel,https://t.me/galgamer_channel,频道,游戏软件,54700,live,2026-07-15,2026-08-28,-1001140043836,2026-08-28,,Galgame 资讯和推荐 你→ @Galgamer →马猴烧酒 友链： @visualgalgame @galpatch @erogamecloud 文章： https://Galgamer.eu.org 捐赠： 有关捐赠事宜请联系群主。
擅长搜索的高木同学,@gaomutongxue,https://t.me/gaomutongxue,,,,removed,2023-07-30,2026-07-08,,,,
搞笑研究所️,@gaoxiaoshu,https://t.me/gaoxiaoshu,,,,removed,2023-07-30,2025-02-05,,,,
主机资讯&特价VPS补货通知,@gcpcn,https://t.me/gcpcn,频道,vps主机,9000,live,2026-07-15,2026-08-28,-1001323533365,2026-08-28,,谢谢关注本频道，本频道主要是主机资讯分享和特价VPS补货通知 VPS交流群：https://t.me/GCPUS
GDP_信息安全,@GDP_sc,https://t.me/GDP_sc,,,,removed,2023-07-30,2026-07-08,,,,
Google Drive 资源 | New @gdurl,@gdsharing,https://t.me/gdsharing,频道,影音资源,124500,live,2026-07-15,2026-08-28,-1001167180246,2026-08-26,,很高兴你来到新的 @gdurl 频道。这里有各种 Google Drive 资源，包括大电影，小电影，电子书，无损音乐等。 Here is channel for Google Drive free resource -- 若要分享资源到频道，请发给 @DriveShareBot。 若要转发本频道内资源到别处， 请注明出处。 -- ✅ 本频道常用分类标签： #小电影 #动漫 #音乐 #游戏 #教学视频 #受欢迎资源 #热门资源 #公告
极客分享,@geekshare,https://t.me/geekshare,频道,资源分享,63900,live,2023-07-30,2026-08-28,-1001517529669,2026-08-28,,专注分享各种高质量网站、工具、APP、开源项目等一切好玩的东西🚀，以及偶尔开开车🚗 ✅极客分享2.0 @xgeekshare 📮广告合作 @Geekshare_bot 🌐网站：https://geekshare.org/
Genshin 🍁 原神｜收集器,@genshinfinecollect,https://t.me/genshinfinecollect,频道,壁纸&图片,3200,live,2026-07-15,2026-08-28,-1001590511742,2026-08-27,,Genshin 原神 Buy ads: https://telega.io/c/GenshinFineCollect
Official Geph Users | 迷霧通官方用戶群,@gephusers,https://t.me/gephusers,群组,软件社群,36600,live,2026-07-15,2026-08-28,-1001479419510,2026-08-28,,Announcements | 通知頻道 https://t.me/gephannounce Group rules | 群規 https://is.gd/geph_tg_rules 違規處理條例 https://is.gd/elihig 客服机器人 @GephSupportBot
GetIDs Bot,@getidsbot,https://t.me/getidsbot,机器人,常用推荐,,live,2025-02-05,2026-08-28,186675376,2026-07-11,,
整点猫咪Channel,@getmoecats,https://t.me/getmoecats,频道,iOS资源,4300,live,2026-07-15,2026-08-28,-1001785776596,2026-08-27,,来一起整点猫咪
圆脸|微胖|络腮胡|非男同群|正经提供技术支持❤️,@giegie444,https://t.me/giegie444,群组,ios社区,11700,live,2026-07-15,2026-08-28,-1001723819185,2026-08-28,,各种破解资源分享 https://t.me/VentunoY21 圈X脚本分享：https://t.me/GieGie777 🈲️止大陸用戶非法翻牆使用！ 🈲️黃賭毒☠️！🈲️一切政治言論! 合作商務👉: @nn11091
IOS-脚本研究院,@giegie777,https://t.me/giegie777,频道,iOS资源,50300,live,2026-07-15,2026-08-28,-1001564322003,2026-08-27,,免责声明与风险提示! 本频道仅供技术学习交流，内容来自公开网络，不保证真实性或安全性。 禁止将内容用于违法用途，包括未经许可的 VPN/代理、访问受限资源、破解盗版等。 中国大陆及其他监管严格地区，使用此类内容可能触犯法律，风险自负。 访问或使用即视为同意本声明。 聊天群组: https://t.me/GieGie444 备用频道: https://t.me/GieGie77 商务合作: http://t.me/nn11091
GIF Export Bot,@gif_export_bot,https://t.me/gif_export_bot,机器人,贴纸下载,,live,2025-02-05,2026-08-28,836503517,2026-07-11,,
🇬🇧 giffgaff 交流群,@giffgaffsim,https://t.me/giffgaffsim,群组,卡号资金,5600,live,2026-07-15,2026-08-28,-1002046931535,2026-08-28,,🇬🇧英国giffgaff交流群 🙊本群谢绝：键政、广告、NSFW、人身攻击。（包括头像、昵称和简介） 🈲 本群禁止讨论任何形式的giffgaff滥用。
窈窕淑女,@girlsfe,https://t.me/girlsfe,频道,壁纸&图片,5100,live,2026-07-15,2026-08-28,-1002060411689,2026-08-27,,云想衣裳花想容，春风拂槛露华浓
胖虎の收藏夹,@gitbig,https://t.me/gitbig,频道,iOS资源,86900,live,2023-07-30,2026-08-28,-1001794251096,2026-08-27,,佛系更新，长期维护 频道主: @gitbig_bot 群: @gitbig_chat 机场|节点|vpn|梯子|代理|翻墙|加速器|科学上网|破解|windows|ios|android|mac|bot|苹果|安卓|插件|软件|教程|脚本|音乐
广告必须死Ⅱ,@gitcube,https://t.me/gitcube,频道,iOS资源,10500,live,2026-07-15,2026-08-28,-1001885096291,2026-08-27,,群组: https://t.me/lanjieguanggao
GitHub,@GitHubBot,https://t.me/GitHubBot,机器人,消息收发,,live,2025-02-05,2026-08-28,107550100,2026-07-11,,
妙妙小工具Beta,@GLBetabot,https://t.me/GLBetabot,机器人,常用推荐,,live,2025-02-05,2026-08-28,6540476263,2026-07-11,,
gledos Lia green 的微型博客,@gledos_microblogging,https://t.me/gledos_microblogging,频道,博客杂谈,6600,live,2026-07-15,2026-08-28,-1001298979108,2026-08-26,,关于一场误解的事后简报 https://t.me/gledos_science_rebirth/17241 关于踢走一位 Telegram 用户的事后简报 https://t.me/gledos_science_rebirth/17200 游戏文化浓度也许很高的微型博客，还有审查观察和浅显的科普杂谈。 如要评论，需先加入 @gledos_science_rebirth 群组，直接在评论里点击加入，可能是看不到验证码的。
吃瓜偷乐曝光黑料分享,@globalfunnews,https://t.me/globalfunnews,频道,资讯新闻,5000,removed,2026-07-15,2026-08-18,-1002619827877,2026-07-08,,❤️从零开始工作室|旗下栏目|广告招租| 🩷永久导航: @ZeroOffices 💛人工客服: @tggeltd02 💚双向客服: @TGNumber002_bot
Gmail Bot,@GmailBot,https://t.me/GmailBot,机器人,消息收发,,live,2025-02-05,2026-08-28,307373020,2026-07-11,,
Yummy 😋,@GodlyNews1,https://t.me/GodlyNews1,频道,资讯新闻,68200,live,2023-07-30,2026-08-28,-1001184480459,2026-08-26,,📰 本频道不定期推送科技数码类新资讯，欢迎关注！ ©️ 发布的内容不代表本频道立场，和你意见不一样的话欢迎在评论区留言表达，但请注意言辞，面斥不雅。 ‼️ 关联群组定期清理不活跃成员和僵尸号，误封请联系管理员。 🔗 博客: https://yummy.best 💬 群组: @GodlyGroup 📬 投稿: @GodlyNewsBot 🪧 广告合作： @yummybest_bot.
Go,@GolangCN,https://t.me/GolangCN,群组,技术开发,5300,live,2024-09-30,2026-08-28,-1001034795809,2026-08-25,,请群成员自觉遵守发言规范 https://telegra.ph/GolangCN-001-Draft-2024-01-03
⚡️ 7x24投资快讯,@golden_wind_news,https://t.me/golden_wind_news,频道,资讯新闻,4600,live,2026-07-15,2026-08-28,-1001151333257,2026-08-26,,24 小时投资相关的快讯
公诸同好 | 二次元美图分享 🅥,@gongzhutonghao,https://t.me/gongzhutonghao,频道,壁纸&图片,37500,live,2023-07-30,2026-08-28,-1001771356889,2026-08-27,,高质量动漫&二刺螈（二次元）&插画作品分享 讨论群组 @hengjiazhihui 广告合作： @qfblbot 萌哩主站： https://www.moely.link 小红书/bilibili： 萌哩二次元 友情链接： t.me/gongzhutonghao/679 频道导航： t.me/gongzhutonghao/710 赞助我们： afdian.com/a/awaowo Tips：作品标题和来源有超链接，评论区附有原图，点击标签可快速搜索🔍。
Google Voice交流群,@googlevoice,https://t.me/googlevoice,,,,removed,2024-09-30,2026-07-08,,,,
Λ-Reading ♡,@goreading,https://t.me/goreading,频道,博客杂谈,15300,live,2026-07-15,2026-08-28,-1001006130365,2026-08-26,,本频道主要内容为： 1.书和读书 #书摘 #书籍推荐 #book ； 2.科技人文资讯分享； 3. Λ-Reading 邮件通讯 #Newsletter，订阅：https://lambda.rizi.me 4. 频道地址：https://ibox.eu.org/
程序员资源分享频道,@gotoshare,https://t.me/gotoshare,频道,知识学习,17100,live,2026-07-15,2026-08-28,-1001296114136,2026-08-26,,程序员资源分享频道
小瑜的老婆们,@goumingdexiaojiejie,https://t.me/goumingdexiaojiejie,,,,removed,2023-07-30,2026-07-08,,,,
V2EX后花园v2.0,@goV2EX,https://t.me/goV2EX,,,,removed,2024-09-30,2026-07-08,,,,
